name,price,country_color_vid,strength,bitterness,density,favor,taste,aftertaste,composition,is_combined,country,type,vid,color
Крафтовое пиво FDB Expert Beer Oatmeal I.P.A.,95.00,"Украина, Светлое, Нефильтрованное, 7.6°",7.6,47.0,17.4,"интенсивный хмелевой с яркими нотами цветов, цитрусовых и спелых тропических фруктов.","с многоуровневым сочетанием цитрусовых нот (апельсин, грейпфрут, лайм) и фруктовых (манго, маракуйя, персик, дыня). Профессиональный нос почувствует солодовую составляющую в виде тонких хлебных оттенков.","полусухой, напоминает о хмелевом характере пива.","вода, солод, овсяные хлопья, хмель, дрожжи.","кисло-сладкие блюда, жареная курица, свежие сыры, салаты с экзотическими фруктами, креветки.",Украина,IPA,Нефильтрованное,Светлое
Пиво Fanatic Porter,75.00,"Украина, Темное, Нефильтрованное, 5.6°",5.6,30.0,16.0,со сладковатыми нотами шоколада и легкими кофейными оттенками.,"насыщенный, с тонами чернослива и черного шоколада.","согревающее, с долгоиграющими кофейно-шоколадными и сладковато-соловыми нотами.","вода, солод ячменный, Carared, Roasted Barlev, Caramunich Type 2, Melanoidin, хмель Northern Brewer и Willamette, дрожжи.","стейки, мясо лапскаут, выдержанные сыры, шоколадные десерты.",Украина,Porter,Нефильтрованное,Темное
Пиво Fanatic Wheat Apricot,70.00,"Украина, Белое, Нефильтрованное, 4.5°",4.5,9.0,11.5,"изысканный, нежный, освежающий, с яркими нотками фруктов (среди которых можно распознать абрикос), цитрусовых оттенков и пряностей.","с приятной кислинкой. Объемный, богатый, насыщенный, напоминает о пшеничном хлебе, травах и цитрусовых. Главную роль в необычном букете играет абрикос. Добавляет шарма пряная составляющая. Хмелевая горечь не выражена.","гладкий, сухой, немного вяжущий, терпкий. Фруктово-цитрусовый шлейф с мягкой кислинкой пропадает медленно.","вода, солод ячменный, солод пшеничный, хмель, дрожжи, ароматизатор абрикос.","салаты, легкая рыба, суши, морепродукты (крабы, мидии, устрицы), севиче, тартар, паста или ризотто с морепродуктами, козий сыр, маскарпоне, фета.",Украина,Witbier,Нефильтрованное,Белое
Пиво Fanatic Cryo APA,80.00,"Украина, Светлое, Нефильтрованное, 4.7°",4.7,35.0,12.0,"свежий, интенсивно насыщенный хмелем.","пиво имеет приятный, тонизирующий, заметно терпковатый характер. Главную роль так упорно и талантливо играет хмель, что о присутствии солода можно и не догадаться. Основные ноты, которые легко отмечаются в букете – травы и хвоя.","сухое, заметно терпкое, длительное, доминирующее хмелевое с оттенками травяно-хвойных мотивов.","вода, солод ячменный, Carapils, Caramunich, хмель Centennial и Citra, дрожжи.","острыми сырами, гамбургерами, мясной пиццей и мексиканской пищей. FANATIC CRYO APA составит хорошую пару с жареным цыпленком.",Украина,APA,Нефильтрованное,Светлое
Пиво «Трембита»,65.00,"Украина, Светлое, Нефильтрованное, 4.3°",4.3,14.0,12.0,"солодовый с цветочными нотами, оттенками меда, карамели и бисквитов.","солодовый с цветочными нотами, оттенками карамели и медовыми тонами.","сладковатое солодовое, освежающее. Хмелевая горечь практически незаметна.","вода, солод ячменный, Carared, Carapils, рис, хмель Заграва, дрожжи.","арахис, сыры, чипсы, фисташка.",Украина,Lager,Нефильтрованное,Светлое
Пиво FDB Lager,65.00,"Украина, Светлое, Нефильтрованное, 4.5°",4.5,18.0,11.5,легкий хмельной аромат с яблочным оттенком.,приятный солодовый с цветочными нотками.,"баланс между хмелевым и солодовым послевкусием, чистый лагерный характер.","вода, солод ячменный светлый, карамельный, хмель Альта, Заграва, дрожжи.","кальмар перуанский, сушеное мясо, орехи, кукурузные и картофельные снеки.",Украина,Lager,Нефильтрованное,Светлое
Пиво Fanatic Lightner,50.00,"Украина, Светлое, Нефильтрованное, 4.2°",4.2,12.0,10.5,"мягкий, солодово-хмелевой.","чистый, сладковато-солодовый. Благодаря небольшой плотности, пиво легко пьется.","по мере угасания солодовых тонов проявляется едва заметная хмелевая горечь, создающая освежающий эффект.","вода, солод ячменный, хмель Альта, дрожжи.","икряники, кальмар перуанский, сыр, орехи, кукурузные и картофельные снеки.",Украина,Lager,Нефильтрованное,Светлое
Пиво Fanatic Braunwald,57.50,"Украина, Темное, Нефильтрованное, 4.8°",4.8,16.0,13.0,карамельно-кофейный.,тона жженого солода с легкими оттенками корочек ржаного хлеба.,легкое карамельное.,"вода, солод ячменный, CaraAroma, Roasted Barlev, хмель Альта, Cascade, дрожжи.","сушеное мясо, сыры, орехи, икряники, рыба.",Украина,Dark Lager,Нефильтрованное,Темное
Пиво Fanatic «Берлингер»,55.00,"Украина, Светлое, Нефильтрованное, 4.5°",4.5,13.5,12.0,"солодовый, с тонами свежего хлеба и легкими цветочными оттенками.","сладковато-солодовый, с нежными цветочными нюансами.","легкое и освежающее, с солодовым характером, едва ощутимой сладостью.","вода, солод ячменный, хмель, дрожжи.","сыры, орехи, мясные и рыбные снеки.",Украина,Lager,Нефильтрованное,Светлое
Пиво Fanatic Allesgut,65.00,"Украина, Светлое, Нефильтрованное, 4°",4.0,9.0,11.5,"солодовый, с едва уловимыми оттенками пшеничного пива и легкими хмелевыми нотами.","сладковатый, преимущественно солодовый, с хлебными оттенками и цветочными нотами хмеля.","долгоиграющее, солодовое с приятным освежающим эффектом.","вода, солод ячменный и пшеничный, хмель Зарево, дрожжи.","икряники, кальмар перуанский, сушеное мясо, колбаски к пиву, сыр, орехи, кукурузные и картофельные снеки.",Украина,Lager,Нефильтрованное,Светлое
Пиво Fanatic «Бланшер»,67.50,"Украина, Белое, Нефильтрованное, 4°",4.0,11.2,12.5,солодовый с пряно-пшеничными тонами и цветочными нотами.,"сбалансированный, пшеничный, умеренно пряный с цитрусовыми нюансами.","мягкое, с цветочными оттенками.","вода, солод ячменный и пшеничный, хмель Заграва, дрожжи.","морепродукты, сыры, колбаски, сушеное мясо.",Украина,Weissbier,Нефильтрованное,Белое
Пиво Уманьпиво Waissburg,67.50,"Украина, Светлое, Фильтрованное, 4.7°",4.7,11.0,11.0,легкий солодовый.,преимущественно солодовый.,сладковато-солодовое.,"вода, солод пивоваренный ячменный светлый, ячмень для пивоварения, гранулы немецкого хмеля.","арахис, сыры, чипсы, фисташка.",Украина,Lager,Фильтрованное,Светлое
Пиво FDB Honey Lager,75.00,"Украина, Светлое, Нефильтрованное, 4.5°",4.5,14.0,11.7,яркие сладковато-медовые тона с цветочно-травяными хмелевыми нотами.,"освежающие сладко-медово-солодовые оттенки, на фоне которых уверенно играют хмелевые тона, подчеркивая медовый характер пива.",сладко-медовое с цветочно-травяными хмелевыми нотами.,"вода, солод ячменный светлый, карамельный, хмель Альта, Заграва, дрожжи.","вяленая свинина, вяленая курица, орехи.",Украина,Lager,Нефильтрованное,Светлое
Пиво FDB Ukrainian Pilsner,70.00,"Украина, Светлое, Нефильтрованное, 4°",4.0,27.0,11.5,"тонкие цитрусовые тона, апельсин, немного черного перца и кари, также в аромате прослеживаются травяные тона.",солодовые тона с нотками специй и цитруса.,"горечь не интенсивная, мягкая, в послевкусии приятные хмелевые тона преобладают над солодовыми.","вода, солод ячменный светлый и карамельный, хмель Колумбус и Херсбрукер, дрожжи.","мясо на гриле, шашлык, пицца.",Украина,Pilsner,Нефильтрованное,Светлое
