name,price,code,volume,brand,country,strength,excerpt,production_area,serving_temperature,favor,taste,gastronomic_combination,features_of_the_technology,sort,image
Коньяк Колуш 5 лет Колусвин 0.5 л 40%,245,1409,0.50,KolusVin  ,Молдова  ,40.00,,,20,"Ваниль , Какао , Цветы ","Длительное послевкусие , Насыщенный ",Дижестив  ,Выдержка в течение 5 лет в бочках из словенского дуба,,parse/image/cognak/1409.jpg.png
Коньяк Chateau Fontpinot XO Frapin 0.7 л 41%,5200,1333,0.70,Frapin  ,Франция  ,41.00,20 лет  ,Гранд Шампань  ,20,"Сложный , Сухофрукты , Табак , Фруктовый , Шоколад ","Округлый , Сбалансированный ",Дижестив  ,"Производится исключительно из винограда, выращенного в области Гранд Шампань Премьер Крю. Минимальный возраст спиртов – 18 лет.","Коломбар , Уни Блан , Фоль Бланш ",parse/image/cognak/1333.jpg.png
Коньяк Frapin 1270 0.7 л 40%,1750,98002,0.70,Frapin  ,Франция  ,40.00,VS  ,Коньяк  ,20,"Ваниль , Сложный , Тропические фрукты , Фруктовый , Цветы ","Округлый , Сбалансированный ",Дижестив  ,"Производится исключительно из винограда, выращенного в области Гранд Шампань Премьер Крю.","Коломбар , Уни Блан , Фоль Бланш ",parse/image/cognak/98002.jpg.png
Коньяк Легендарный аист 5 лет Колусвин 0.5 л 40%,449,88616,0.50,KolusVin  ,Молдова  ,40.00,,,20,"Ваниль , Сухофрукты , Чернослив , Шоколад ","Длительное послевкусие , Насыщенный ",Дижестив  ,Выдержка в течение 5 лет в бочках из словенского дуба,,parse/image/cognak/88616_1.jpg.png
Коньяк Hennessy VSOP 0.7 л 40%,3800,88779,0.70,Hennessy  ,Франция  ,40.00,,,,,,,,"Коломбар , Уни Блан , Фоль Бланш ",parse/image/cognak/88779_1.jpg.png
Коньяк Hennessy VSOP 0.05 л 40%,410,95222,0.05,Hennessy  ,Франция  ,40.00,,,,,,,,"Коломбар , Уни Блан , Фоль Бланш ",parse/image/cognak/95222_1.jpg.png
Коньяк Martell VSOP 0.7 л 40%,2990,80130,0.70,Martell  ,Франция  ,40.00,VSOP  ,,,,,,,"Коломбар , Уни Блан , Фоль Бланш ",parse/image/cognak/80130_1.jpg.png
Коньяк Bonnard 0.5 л 40%,269,96842,0.50,KolusVin  ,Молдова  ,40.00,5 лет  ,,20,"Ваниль , Пряный , Сухофрукты ","Длительное послевкусие , Насыщенный ",Дижестив  ,Выдержка в течение 3 лет в бочках из словенского дуба,Ркацители  ,parse/image/cognak/96842.jpg.png
Коньяк Salvodore Divin 0.5 л 40%,250,99693,0.50,Migdal-P  ,Молдова  ,40.00,5 лет  ,,20,"Ваниль , Сухофрукты , Табак , Цитрусовые ","Длительное послевкусие , Насыщенный ",Дижестив  ,Выдержка в течение 5 лет в бочках из словенского дуба,,parse/image/cognak/99693.jpg.png
Коньяк Frapin VSOP 0.7 л 40%,3600,81814,0.70,Frapin  ,Франция  ,40.00,VSOP  ,Коньяк  ,20,"Ваниль , Пряный , Сложный , Сухофрукты , Фруктовый ","Округлый , Сбалансированный ",Дижестив  ,Минимальный возраст спиртов - 12 лет,"Коломбар , Уни Блан , Фоль Бланш ",parse/image/cognak/81814.jpg.png
