name,price,color,country,alcogol_percentage,type,brand,sugar,region,style,sort,classification
"Вино Терра Еспаньйола / Terra Espaniola, белое полусладкое 0.75л",115.00,белое,Испания,10.50,тихое,Terra Espaniola,полусладкое,,легкое,Салем,
"Вино Терра Еспаньйола / Terra Espaniola, красное полусладкое 0.75л",115.00,красное,Испания,10.50,тихое,Terra Espaniola,полусладкое,Андалусія,легкое,"сира/шираз, темпранильйо",
"Вино Терра Италианика Россо Амабиле / Terra Italianica Rosso Amabile, красное полусладкое 0.75л",149.00,красное,Италия,10.50,тихое,Terra Italianica,полусладкое,,,,
"Вино Терра Италианика Бьянко / Terra Italianica Bianco, белое полусухое 0.75л",149.00,белое,Италия,10.50,тихое,Terra Italianica,полусухое,,,,
"Вино Терра Италианика Бьянко Амабиле / Terra Italianica Bianco Amabile, белое полусладкое 0.75л",149.00,белое,Италия,10.50,тихое,Terra Italianica,полусладкое,,,,
"Вино Дон Симон Вайт Семисвит / Don Simon White Semisweet, белое полусладкое 0.75л",149.00,белое,Испания,10.50,тихое,Don Simon,полусладкое,Кастилья,легкое,бленд,
"Вино Дон Симон Ред Семисвит / Don Simon Red Semisweet, красное полусладкое 0.75л",149.00,красное,Испания,10.50,тихое,Don Simon,полусладкое,Кастилья,легке,бленд,
"Вино Дон Симон Ред Драй / Don Simon Red Dry, красное сухое 0.75л",149.00,красное,Испания,11.00,тихое,Don Simon,сухое,Кастилья,,бленд,
"Вино Дон Симон Вайт Драй / Don Simon White Dry, белое сухое 0.75л",149.00,белое,Испания,11.00,тихое,Don Simon,сухое,Кастилья,легкое,бленд,
"Вино Терра Италианика Россо / Terra Italianica Rosso, красное напів солодке 0.75л",149.00,красное,Италия,10.50,тихое,Terra Italianica,напів солодке,,,бленд,
"Вино Дон Симон Сангриа / Don Simon Sangria, красное сладкое 1л",159.00,красное,Испания,7.00,тихое,Don Simon,сладкое,,легкое,бленд,
"Вино Апуло Саленто Фиано-Москато Бьянко / Apulo Salento Fiano-Moscato Bianco, белое полусухое 0.75л",319.00,белое,Италия,12.50,тихое,Altemura,полусухое,Апулія ,легкое,"москато, фіано",Salento IGT
"Вино Ришбарон Молю Блан / Richebaron Moelleux Blanc, белое полусладкое 0.75л",171.00,белое,Франция,,тихое,"Richebaron, Uvica",полусладкое,,легкое,,
"Вино Ришбарон Руж / Richebaron Rouge, красное сухое 0.75л",177.00,красное,Франция,12.50,тихое,"Richebaron, Uvica",сухое,,легкое,бленд,
"Вино Ришбарон Блан / Richebaron blanc, белое сухое 0.75л",177.00,белое,Франция,12.50,тихое,"Richebaron, Uvica",сухое,,легкое,бленд,
"Вино Дон Симон Натюр Мерло / Don Simon Nature Merlot, красное сухое 0.75л",179.00,красное,Испания,12.50,тихое,Don Simon,сухое,Кастилья,легкое,мерло,
"Вино Дон Симон Шардоне / Don Simon Chardonnay, белое сухое 0.75л",179.00,белое,Испания,11.50,тихое,Don Simon,сухое,Кастилья,легкое,шардоне,
"Вино Дон Симон Натюр Каребне Совиньйон / Don Simon Nature Cabernet Sauvignon, красное сухое 0.75л",179.00,красное,Испания,12.50,тихое,Don Simon,сухое,Кастилья,легкое,каберне совиньйон,
"Вино Дон Симон Натуре Темпранильо / Don Simon Nature Tempranillo, красное сухое 0.75л",179.00,красное,Испания,12.50,тихое,Don Simon,сухое,Кастилья,легкое,темпранильйо,
"Вино Дон Симон Совиньйон Блан / Don Simon Nature Sauvignon Blanc, белое сухое 0.75л",179.00,белое,Испания,11.50,тихое,Don Simon,сухое,Кастилья,легкое,совиньйон блан,
"Вино Латиниум Либфраумильх / Latinium Liebfraumilch, белое полусладкое 0.75л",194.00,белое,Германия,9.50,тихое,Latinium,полусладкое,Рейнгессен,легкое,рислинг,
